cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.048],TempProf_cur[6.096],TempProf_cur[9.144],TempProf_cur[12.192],TempProf_cur[15.24],TempProf_cur[18.288],TempProf_cur[21.336],TempProf_cur[24.384],TempProf_cur[27.432],TempProf_cur[30.48],TempProf_cur[33.528],TempProf_cur[36.576],TempProf_cur[39.624],TempProf_cur[42.672],TempProf_cur[45.72],TempProf_cur[48.768],TempProf_cur[51.816],TempProf_cur[54.864],TempProf_cur[57.912],TempProf_cur[60.96],PresProf_cur[3.048],PresProf_cur[6.096],PresProf_cur[9.144],PresProf_cur[12.192],PresProf_cur[15.24],PresProf_cur[18.288],PresProf_cur[21.336],PresProf_cur[24.384],PresProf_cur[27.432],PresProf_cur[30.48],PresProf_cur[33.528],PresProf_cur[36.576],PresProf_cur[39.624],PresProf_cur[42.672],PresProf_cur[45.72],PresProf_cur[48.768],PresProf_cur[51.816],PresProf_cur[54.864],PresProf_cur[57.912],PresProf_cur[60.96],
2006-06-01 02:35:00,292.908,291.620,0.000,293.209,292.247,287.601,291.408,99258.333,293.465,293.350,293.248,293.157,293.074,293.000,292.932,292.872,292.818,292.772,292.733,292.702,292.681,292.669,292.667,292.671,292.680,292.692,292.706,292.732,100887.530,100852.272,100817.009,100781.743,100746.476,100711.208,100675.940,100640.674,100605.409,100570.148,100534.890,100499.636,100464.388,100429.147,100393.915,100358.691,100323.476,100288.272,100253.078,100217.895,
2006-06-01 02:40:00,292.913,291.624,0.000,293.210,292.250,287.653,291.417,99266.667,293.465,293.351,293.250,293.160,293.078,293.004,292.937,292.877,292.824,292.778,292.739,292.708,292.687,292.676,292.673,292.678,292.686,292.698,292.711,292.737,100887.572,100852.313,100817.051,100781.785,100746.519,100711.251,100675.984,100640.718,100605.454,100570.193,100534.936,100499.683,100464.436,100429.196,100393.964,100358.741,100323.528,100288.324,100253.131,100217.949,
2006-06-01 02:45:00,292.917,291.628,0.000,293.209,292.251,287.698,291.425,99275.000,293.465,293.352,293.252,293.162,293.081,293.007,292.941,292.881,292.828,292.782,292.744,292.713,292.693,292.681,292.679,292.683,292.692,292.703,292.716,292.740,100887.615,100852.357,100817.094,100781.829,100746.563,100711.296,100676.029,100640.764,100605.500,100570.240,100534.983,100499.731,100464.485,100429.245,100394.014,100358.791,100323.578,100288.375,100253.183,100218.001,
2006-06-01 02:50:00,292.920,291.633,0.000,293.209,292.253,287.743,291.433,99283.333,293.464,293.351,293.252,293.163,293.082,293.009,292.943,292.884,292.832,292.786,292.748,292.718,292.697,292.686,292.683,292.687,292.695,292.707,292.719,292.743,100887.661,100852.402,100817.140,100781.875,100746.608,100711.341,100676.075,100640.810,100605.547,100570.287,100535.030,100499.779,100464.533,100429.294,100394.063,100358.841,100323.629,100288.426,100253.234,100218.052,
2006-06-01 02:55:00,292.921,291.637,0.000,293.207,292.253,287.781,291.442,99291.667,293.462,293.350,293.252,293.163,293.083,293.011,292.945,292.886,292.834,292.789,292.751,292.721,292.700,292.689,292.687,292.690,292.698,292.709,292.722,292.745,100887.707,100852.449,100817.186,100781.921,100746.655,100711.388,100676.122,100640.857,100605.594,100570.334,100535.078,100499.827,100464.581,100429.343,100394.112,100358.891,100323.679,100288.476,100253.285,100218.103,
2006-06-01 03:00:00,292.922,291.642,0.000,293.207,292.256,287.826,291.450,99300.000,293.460,293.348,293.250,293.163,293.083,293.011,292.946,292.887,292.835,292.790,292.752,292.723,292.703,292.692,292.689,292.693,292.701,292.711,292.723,292.746,100887.755,100852.496,100817.233,100781.968,100746.702,100711.435,100676.169,100640.904,100605.642,100570.382,100535.126,100499.875,100464.630,100429.392,100394.161,100358.940,100323.728,100288.526,100253.335,100218.153,
2006-06-01 03:05:00,292.923,291.595,0.000,293.207,292.259,287.866,291.408,99308.333,293.457,293.346,293.249,293.162,293.083,293.011,292.947,292.888,292.837,292.792,292.754,292.725,292.705,292.694,292.691,292.695,292.702,292.713,292.725,292.747,100887.806,100852.546,100817.283,100782.018,100746.752,100711.485,100676.219,100640.954,100605.691,100570.432,100535.176,100499.925,100464.680,100429.442,100394.212,100358.991,100323.780,100288.578,100253.386,100218.205,
2006-06-01 03:10:00,292.923,291.548,0.000,293.206,292.261,287.906,291.367,99316.667,293.454,293.344,293.248,293.161,293.083,293.011,292.947,292.889,292.838,292.793,292.756,292.726,292.706,292.696,292.693,292.697,292.704,292.714,292.726,292.748,100887.857,100852.598,100817.334,100782.069,100746.802,100711.535,100676.269,100641.005,100605.742,100570.483,100535.227,100499.977,100464.732,100429.494,100394.264,100359.043,100323.832,100288.630,100253.439,100218.258,
2006-06-01 03:15:00,292.923,291.501,0.000,293.206,292.264,287.945,291.325,99325.000,293.452,293.343,293.246,293.160,293.082,293.011,292.947,292.889,292.838,292.794,292.757,292.728,292.708,292.697,292.695,292.698,292.705,292.715,292.727,292.749,100887.909,100852.649,100817.386,100782.120,100746.854,100711.587,100676.321,100641.056,100605.794,100570.534,100535.279,100500.028,100464.784,100429.546,100394.316,100359.096,100323.884,100288.683,100253.492,100218.311,
2006-06-01 03:20:00,292.924,291.454,0.000,293.205,292.266,287.984,291.283,99333.333,293.450,293.341,293.245,293.159,293.081,293.011,292.947,292.890,292.839,292.794,292.757,292.729,292.709,292.698,292.696,292.699,292.706,292.716,292.727,292.749,100887.962,100852.702,100817.438,100782.173,100746.906,100711.639,100676.373,100641.108,100605.846,100570.586,100535.331,100500.081,100464.836,100429.598,100394.369,100359.148,100323.937,100288.736,100253.545,100218.364,
