,Urban_DBT_C,Rural_DBT_C,Rural_Pres_Pa,MeteoData.Pre,sensWaste_CAPITOUL_WithShading_WithCooling_7_OnlyVCWG_Bueno.csv,MeteoData.Tatm,7_TempProf_cur[20.0],7_PresProf_cur[20.0],7_sensor_idx_20.0
2004-07-01 08:20:00,18.328,18.438,99714.0,100179.0,11.349,17.766999999999996,290.007,100471.621,17.099019830528505
2004-07-01 08:25:00,18.294,18.33,99712.0,100178.0,14.246,17.833000000000027,290.045,100471.642,17.137897638401967
2004-07-01 08:30:00,18.422,18.602,99698.0,100177.0,14.493,17.900000000000034,290.059,100471.671,17.152762120892135
2004-07-01 08:35:00,18.41,18.646,99690.0,100176.0,18.954,17.96700000000004,290.108,100471.683,17.202642162284405
2004-07-01 08:40:00,18.642,18.834,99688.0,100175.0,19.101,18.033000000000015,290.13,100471.706,17.225508743450234
2004-07-01 08:45:00,18.768,18.996,99684.0,100174.0,24.062,18.100000000000023,290.187,100471.711,17.283390302053363
2004-07-01 08:50:00,18.754,19.036,99692.0,100173.0,24.002,18.16700000000003,290.212,100471.729,17.30925568500004
2004-07-01 08:55:00,18.678,19.112,99700.0,100172.0,25.426,18.233000000000004,290.273,100471.729,17.371137114412193
2004-07-01 09:00:00,18.776,19.098,99700.0,100171.0,24.734,18.30000000000001,290.288,100471.749,17.386995989668435
2004-07-01 09:05:00,18.916,19.146,99696.0,100169.25,30.947,18.442000000000007,290.374,100471.71,17.47448959425202
2004-07-01 09:10:00,18.89,19.268,99684.0,100167.5,30.84,18.583000000000027,290.448,100471.67,17.549972834251435
2004-07-01 09:15:00,19.064,19.52,99682.0,100165.75,38.083,18.725000000000023,290.57,100471.606,17.67347883749875
2004-07-01 09:20:00,19.336,19.56,99684.0,100164.0,37.747,18.86700000000002,290.654,100471.556,17.758964309513203
2004-07-01 09:25:00,19.19,19.71,99688.0,100162.25,45.777,19.008000000000038,290.784,100471.484,17.8904729788149
2004-07-01 09:30:00,19.464,19.55,99688.0,100160.5,45.091,19.150000000000034,290.872,100471.428,17.97995894111051
2004-07-01 09:35:00,19.746,19.588,99690.0,100158.75,53.916,19.29200000000003,291.01,100471.348,18.11947047327959
2004-07-01 09:40:00,19.642,20.072,99684.0,100157.0,52.807,19.43300000000005,291.102,100471.286,18.21295704984186
2004-07-01 09:45:00,19.49,20.438,99684.0,100155.25,62.467,19.575000000000045,291.247,100471.198,18.359470738733307
2004-07-01 09:50:00,20.274,20.326,99684.0,100153.5,60.831,19.71700000000004,291.341,100471.131,18.454957065727513
2004-07-01 09:55:00,20.018,20.51,99686.0,100151.75,71.61,19.858000000000004,291.492,100471.036,18.607472991588622
