Date/Time,EAST:Surface Outside Face Temperature [C](TimeStep),NORTH:Surface Outside Face Temperature [C](TimeStep),SOUTH:Surface Outside Face Temperature [C](TimeStep),WEST:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),THERMAL ZONE 1 INTERNAL MASS:Surface Outside Face Temperature [C](TimeStep),EAST_WINDOW:Surface Outside Face Temperature [C](TimeStep),NORTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),SOUTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),WEST_WINDOW:Surface Outside Face Temperature [C](TimeStep) 
 06/24  15:55:00,25.356541731431015,25.276146871557472,27.720578773671082,61.09666693023158,18.0,38.665395079673495,24.726925769677784,21.248111590722544,21.247883271463365,21.30191098174862,29.667580000626344 
 06/24  16:00:00,25.172413731564944,25.158362270874964,27.023850017534237,60.945016609341586,18.0,37.7568499121842,24.696441671270094,21.194382088071393,21.198412165093032,21.232235547827827,29.574899034813086 
 06/24  16:05:00,25.039857003855534,25.314431604853496,26.600987816411912,60.98046118296024,18.0,37.14504334202853,24.662101196532287,21.158012143222663,21.188830534651572,21.19280322371526,29.570931588047642 
 06/24  16:10:00,24.924240452296267,25.570469380166603,26.277933095255854,61.05078945730168,18.0,36.58714215645609,24.633618672211632,21.12582335456841,21.201520185686775,21.157928437942132,29.573019925774815 
 06/24  16:15:00,24.81779192934557,25.885859770649116,26.013946637937117,61.13130152489247,18.0,36.02407096405795,24.60920692256498,21.095617089419875,21.241018316863233,21.125525016330016,29.575958298543924 
 06/24  16:20:00,24.716777242973972,26.240540978596993,25.7887989782488,61.21046679004981,18.0,35.543628070187026,24.590065363110803,21.067292739951654,21.296922108109698,21.095509863098357,29.577394646376263 
 06/24  16:25:00,24.61897204652803,26.622301236164287,25.590208464933024,61.281769674976616,18.0,35.058674243319615,24.574111024110973,21.03992074091218,21.36906692903176,21.066880421401606,29.575514240260873 
 06/24  16:30:00,24.522962236367896,27.023194451161427,25.41025517907867,61.34133952005364,18.0,34.61699092102991,24.561177895179892,21.013366800563517,21.456002162109257,21.039482580008837,29.569780786711817 
 06/24  16:35:00,24.416002690981497,27.413804522604575,25.23154496024315,61.25989704917741,18.0,34.123965317152106,24.55049314534023,20.981523773460708,21.54668121274051,21.006809797786786,29.50515914662344 
 06/24  16:40:00,24.305266526576794,27.802644982688562,25.05839368148792,61.125642533045685,18.0,33.647052593953525,24.54004755582708,20.949466248910312,21.64609693311371,20.974272818000316,29.432146796561426 
 06/24  16:45:00,24.192062005996466,28.189154759786103,24.89004944542254,60.95237047560508,18.0,33.169353217847956,24.530555257412658,20.917586733309463,21.752788488658723,20.942230537150124,29.35322575764161 
 06/24  16:50:00,24.07692073897131,28.57213982422098,24.725564190634483,60.74657963220093,18.0,32.69176265895897,24.521783649521304,20.88582291967282,21.864912292599683,20.9105863737949,29.269038305308925 
 06/24  16:55:00,23.960123981520887,28.950433249160273,24.564137227413198,60.51206814649745,18.0,32.21382913712737,24.513497575283978,20.87877071485707,22.01565452894374,20.905399549631852,29.22876129500247 
 06/24  17:00:00,23.841830633689867,29.32296842467511,24.405122744485524,60.25123406499944,18.0,31.736486419537318,24.612470498106802,20.883776283385316,22.17920964795121,20.91198380639287,29.19620224173707 
 06/24  17:05:00,23.69164402503373,29.640666070851815,24.220665414367957,59.884219008542985,18.0,31.183353488838623,24.697360093057775,20.83876987476492,22.278371241916147,20.877880422573753,29.060919455691078 
 06/24  17:10:00,23.427675212782095,29.880806925561757,23.924080496046038,59.61304238617377,18.0,30.620955764896117,24.740011104544543,20.705635051514605,22.30791998147697,20.736229151530324,28.930244361377447 
 06/24  17:15:00,23.223225301948904,30.13930196649835,23.690509082242304,59.20879269900354,18.0,30.063269381853246,24.695295439298803,20.614458730351714,22.35183266710885,20.645045165570878,28.73171230714678 
 06/24  17:20:00,23.029615636031934,30.388856398267436,23.47025922729345,58.75941141830187,18.0,29.489762974480218,24.648711143422577,20.53079831775051,22.398418102847245,20.56246205554055,28.539843484065614 
 06/24  17:25:00,22.840573190869073,30.626300539276855,23.2566149327339,58.27697899904089,18.0,28.921261830263543,24.60463971738076,20.450784352158507,22.44380849504489,20.483422949538635,28.349813803469942 
 06/24  17:30:00,22.65415122791896,30.850605069295415,23.047305467373555,57.7672035808658,18.0,28.349248300447872,24.566216385537288,20.37383034725849,22.48703115536216,20.407705443167515,28.160977441318096 
 06/24  17:35:00,22.459533606040782,30.98708979004075,22.831062594698214,56.99125134539202,18.0,27.72643186834444,24.531917938454878,20.293285415795935,22.490294432168128,20.327284713873723,27.856626565741976 
 06/24  17:40:00,22.263245380580383,31.07785353957841,22.614291794108347,56.12317449807668,18.0,27.10140953010848,24.498579646702886,20.21388993798371,22.483861906383595,20.247609333979767,27.555250323333667 
 06/24  17:45:00,22.066724731903907,31.130918339927966,22.3983051863346,55.1938203724401,18.0,26.486749570669936,24.46709742414336,20.135983456915483,22.466994480729113,20.16938746506503,27.252071871998112 
 06/24  17:50:00,21.87069156828628,31.149840316520145,22.18371838219679,54.218569406353836,18.0,25.870647934102095,24.436961400924915,20.059565194147694,22.434290032506283,20.092294809243754,26.94691831112152 
 06/24  17:55:00,21.675607144526477,31.136607797989665,21.970905728393777,53.20680319056616,18.0,25.265170796215283,24.40757342337973,19.98445749781615,22.393724989418843,20.01615381033389,26.639669793143753 
 06/24  18:00:00,21.482455361094026,31.09801314092845,21.760791308826445,52.17959039013335,18.0,24.671245938576725,24.3786193164299,19.910943378038155,22.34517887661076,19.94133331991202,26.33749541543216 
 06/24  18:05:00,21.255381021432548,31.007133908727706,21.517820218163074,51.10859948492529,18.0,24.06020971348949,24.350013555219572,19.770672102757146,22.224334166341578,19.799904065171745,25.970548162494083 
 06/24  18:10:00,21.016628967173016,30.87963750733633,21.263833314488465,50.00996280869873,18.0,23.460142773962286,24.314831382599017,19.655105034665667,22.124983026930863,19.68389982270355,25.642012741622864 
 06/24  18:15:00,20.771314738187083,30.718738678804463,21.003888705992377,48.88787164539759,18.0,22.86821293980944,24.379455476646584,19.555157826008724,22.020783455600167,19.584093651530793,25.324339470942107 
 06/24  18:20:00,20.521951137029223,30.525895595334106,20.740486471691014,47.74511334922875,18.0,22.28738175862139,24.42824785489174,19.447979444038424,21.895690293991834,19.4762987380999,24.974736516284565 
 06/24  18:25:00,20.27007969491994,30.301895517943937,20.475165207963332,46.58388013838637,18.0,21.715000740791233,24.467462450357758,19.337702362085338,21.75530990325376,19.364852232213764,24.626122567268908 
 06/24  18:30:00,20.0167107792258,30.047142698936053,20.2089337977581,45.40598531024915,18.0,21.159449144355296,24.497309139623226,19.22487563614891,21.60072932359958,19.250288332693287,24.270828704230155 
 06/24  18:35:00,19.751599632330098,29.682542727817587,19.931366337518128,44.052052442576866,18.0,20.589031211940295,24.520612825310884,19.103298120583077,21.391163467800197,19.125812345511804,23.832653764927613 
 06/24  18:40:00,19.48240511749565,29.256117992865608,19.650190066028884,42.63538771944433,18.0,20.03760108800719,24.535662449531365,18.979683928896407,21.16598410243148,18.99882728151431,23.390146777701375 
 06/24  18:45:00,19.211201012216126,28.777981341276476,19.367509983967647,41.17930638796264,18.0,19.498363947394694,24.543669473914537,18.855105315565993,20.924872613811658,18.870556653380163,22.943738712720403 
 06/24  18:50:00,18.939117348950344,28.253540173222657,19.08447633740326,39.69709160052011,18.0,18.98025969635316,24.54767391385901,18.731271440185026,20.674880685947414,18.74262706020636,22.495506544187947 
 06/24  18:55:00,18.66689682793915,27.66909641156254,18.801843633431133,38.16485390347336,18.0,18.475282600752706,24.54822226186701,18.60884161694645,20.409460399357783,18.615608931643692,22.029498725900282 
 06/24  19:00:00,18.35149294916292,26.813731341180137,18.475994206623433,36.23505505238213,18.0,18.000437935156622,24.54519701312833,18.467115687305522,20.025229569048008,18.46809731310617,21.369862368324277 
 06/24  19:05:00,18.01711112894908,25.875181535771418,18.132926443400635,34.264846984004386,18.0,17.486950125310017,24.530820436528746,18.272839329413046,19.576619074615053,18.252892170499592,20.684543191731223 
 06/24  19:10:00,17.672823700746623,24.853035792823103,17.780681494643247,32.244178486221266,18.0,16.995202948963325,24.515977744929955,18.055347502921336,19.123544460876474,18.021814804074666,20.006828514027347 
 06/24  19:15:00,17.322738893038427,23.75569736218741,17.423151778278008,30.188847437450217,18.0,16.511358541096982,24.49597874752951,17.81386662971738,18.659629691250586,17.776537358688017,19.337482311453755 
 06/24  19:20:00,16.969613267912145,22.59094932360677,17.062996464934304,28.11392894456399,18.0,16.044257876419245,24.4714824683869,17.550696334462714,18.1863081950778,17.51747431122044,18.67774045632666 
 06/24  19:25:00,16.604792993274415,21.304811535695535,16.691379258466046,25.942755872533233,18.0,15.588973766795183,24.44242800956633,17.261892948081595,17.674617399506758,17.238513235146684,17.98298013867509 
 06/24  19:30:00,16.10814325066423,19.2474387741359,16.186752990798755,22.753337494203734,18.0,15.003351646738594,24.407395383512753,16.79707567552782,16.79937329845734,16.800594229947478,16.799588248119107 
 06/24  19:35:00,15.740465259517151,18.15402523619136,15.812445025122264,21.078019579178783,18.0,14.622072735941847,24.346906176113965,16.5848672465537,16.586394478460704,16.58917696421895,16.58601089437485 
 06/24  19:40:00,15.410045039070155,17.34172375245114,15.476249145117462,19.85387890585265,18.0,14.23307219264262,24.31614058636482,16.37639888644202,16.37751504759268,16.381657858748724,16.3777475445047 
 06/24  19:45:00,15.09992060174022,16.68541468149188,15.161078178176698,18.88566873195038,18.0,13.8431527452272,24.285597755641046,16.166963587635564,16.16794601120688,16.173018322321468,16.168884262374945 
 06/24  19:50:00,14.802858618533232,16.130620462980154,14.859582242853792,18.08624551471223,18.0,13.491208000309818,24.255254505601677,15.957748424383794,15.95866204629715,15.964464617633212,15.960208075268042 
 06/24  19:55:00,14.51462377547908,15.64537546600833,14.567434263063442,17.403901152066595,18.0,13.138589946417714,24.224861894433804,15.748895841044941,15.749766560679745,15.756136411519833,15.751790478137536 
 06/24  20:00:00,14.232512165029732,15.209309169566943,14.28185788979327,16.805446496976725,18.0,12.808290466423166,24.19426431630772,15.54040669060123,15.541252091998444,15.548033643598501,15.54361814696938 
 06/24  20:05:00,13.987736905992344,14.841698131563462,14.033644627543122,16.301696979189018,18.0,12.512738238202198,24.16336623369113,15.391802884978858,15.392637774911464,15.399496760704778,15.395024531156764 
 06/24  20:10:00,13.758921051277769,14.513170613966874,13.801729040347492,15.856972939646633,18.0,12.238434821353197,24.132877143499933,15.247210644953157,15.24803401544608,15.254764987914996,15.25026544595164 
 06/24  20:15:00,13.540343822832055,14.212445153094713,13.58041239359238,15.455668148594961,18.0,11.963434492124371,24.10230779784123,15.103499648930324,15.104325076180658,15.110820928122394,15.10630458203866 
 06/24  20:20:00,13.328940723109268,13.93255621257741,13.366614970816405,15.08756745402335,18.0,11.709314865524831,24.07165312877427,14.960208083359873,14.961046682353356,14.967213606648102,14.962690694246021 
 06/24  20:25:00,13.122735585571144,13.66852066769701,13.158335883650025,14.74541932248554,18.0,11.454642636924813,24.040865294677687,14.817226298415903,14.818087837829125,14.823834630834597,14.819314202879355 
 06/24  20:30:00,12.920384148313977,13.41691819636707,12.954203825768452,14.42391850856536,18.0,11.213206550774526,24.00993028980613,14.674526746376955,14.67542000580272,14.68065653415772,14.676146216406892 
 06/24  20:35:00,12.720944852940063,13.175114952950908,12.75325072639089,14.119101517778144,18.0,10.971311904612005,23.978804093278416,14.53207826510129,14.533010938951179,14.537647824139754,14.533154020529253 
 06/24  20:40:00,12.52374352288535,12.941143387477698,12.554777618402007,13.827955046061513,18.0,10.738110736805869,23.947482079776503,14.38987441755313,14.390853301616403,14.3948020796268,14.390329907532987 
 06/24  20:45:00,12.328288507261433,12.713508579921935,12.358270212518997,13.548152803665067,18.0,10.504510245299668,23.915928636217142,14.247893628013117,14.248924512428005,14.25209759330835,14.247651135773026 
 06/24  20:50:00,12.134215484611584,12.491058905125259,12.163343773617402,13.277874049523886,18.0,10.276718227758057,23.884148003671008,14.106136973731964,14.107224855930326,14.109535632197776,14.105117888606742 
 06/24  20:55:00,11.941250562504766,12.272896338049383,11.969706126971497,13.015675891812993,18.0,10.048564822260138,23.85211288800632,13.964588893911241,13.965737889925606,13.967100696379589,13.962713847314035 
 06/24  21:00:00,11.749185060710651,12.058312768107116,11.777132276539835,12.760401942845627,18.0,9.82432386779246,23.81983359689588,13.823254861538999,13.824468429783394,13.824798572333634,13.820443936860727 
 06/24  21:05:00,11.573603716409217,11.862932867448128,11.601818342308137,12.528429377892204,18.0,9.61197423229826,23.787290571662023,13.718305275745024,13.719590035798205,13.71777255229415,13.713440847104948 
 06/24  21:10:00,11.404815867322359,11.67643294332774,11.43372657457428,12.308458723606398,18.0,9.404359974439332,23.75493446489915,13.615827280608357,13.61717699907399,13.61302398529898,13.608724171803829 
 06/24  21:15:00,11.240395954882375,11.496036808385975,11.270331224022117,12.097299838134745,18.0,9.195805746870898,23.722509229616573,13.514196032006453,13.515613827213315,13.508975115142164,13.504705785000624 
 06/24  21:20:00,11.079080484474611,11.320218736064838,11.110308276302097,11.893133076837596,18.0,8.992506722801766,23.690020318669056,13.41317262565775,13.414660182787884,13.40539400307398,13.40115428020988 
 06/24  21:25:00,10.92005785272843,11.147959029836748,10.952802031736582,11.694716428415196,18.0,8.788312339316947,23.65746240164009,13.312715947385868,13.314274436852429,13.302242667696532,13.29803145932965 
 06/24  21:30:00,10.762773282039262,10.978534296312763,10.797223738100062,11.501103329920154,18.0,8.586839058744655,23.62482485219582,13.212816102249462,13.214446330556598,13.199514405034392,13.195330373220486 
 06/24  21:35:00,10.606834099672604,10.8114133673249,10.643153619157157,11.31157400407909,18.0,8.384486054342455,23.592108891615325,13.113475780534486,13.11517829519562,13.097215761926805,13.09305732392852 
 06/24  21:40:00,10.451954847801076,10.64619578557163,10.49028393654967,11.125566087174594,18.0,8.183239549394106,23.559302021236164,13.014690907229351,13.016465973808181,12.995347432449705,12.991212872444976 
 06/24  21:45:00,10.297923308538316,10.482572950104162,10.338383628787145,10.942630323553631,18.0,7.981107254095657,23.526412034177504,12.916469149192665,12.918316872181208,12.893922742844211,12.889810170129863 
 06/24  21:50:00,10.144578614997856,10.320302544369799,10.187275442539113,10.76240099159936,18.0,7.7789452408278175,23.493425337364922,12.818805281743039,12.820725532344909,12.792943341864088,12.78885082712236 
 06/24  21:55:00,9.991796717689938,10.159191171919062,10.036820681355684,10.58457542598767,18.0,7.575876295516757,23.460354778513896,12.721709038264976,12.723701598987304,12.692426896859047,12.688352386696579 
 06/24  22:00:00,9.839480498045637,9.999082262651406,9.886908775493582,10.408899445488421,18.0,7.371920277583797,23.427185598860643,12.625172847037334,12.627237300934894,12.592375361621407,12.588316833775309 
 06/24  22:05:00,9.708093022860528,9.859791186139613,9.75711684871446,10.253262442153657,18.0,7.207967005565008,23.393934455289372,12.549740340959772,12.551864194981135,12.51638228527463,12.512355187053345 
 06/24  22:10:00,9.585730945841263,9.729786377943453,9.635957617738908,10.10715342465624,18.0,7.053163184592456,23.3608486494011,12.475227127599453,12.477403293815996,12.441482855213053,12.437492233855437 
 06/24  22:15:00,9.469392954384409,9.606130724290663,9.52054200864836,9.967848089051124,18.0,6.898300007419858,23.327852592407787,12.40095006167735,12.403178103407413,12.366848273092899,12.362891084959529 
 06/24  22:20:00,9.357482590734485,9.487245985358465,9.4093398749743,9.833859923437696,18.0,6.759361747702695,23.294918171264523,12.326766629293274,12.329045331755594,12.292310645092812,12.288384674989686 
