cur_datetime,canTemp,ForcTemp_K,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[3.048],TempProf_cur[6.096],TempProf_cur[9.144],TempProf_cur[12.192],TempProf_cur[15.24],TempProf_cur[18.288],TempProf_cur[21.336],TempProf_cur[24.384],TempProf_cur[27.432],TempProf_cur[30.48],TempProf_cur[33.528],TempProf_cur[36.576],TempProf_cur[39.624],TempProf_cur[42.672],TempProf_cur[45.72],TempProf_cur[48.768],TempProf_cur[51.816],TempProf_cur[54.864],TempProf_cur[57.912],TempProf_cur[60.96],PresProf_cur[3.048],PresProf_cur[6.096],PresProf_cur[9.144],PresProf_cur[12.192],PresProf_cur[15.24],PresProf_cur[18.288],PresProf_cur[21.336],PresProf_cur[24.384],PresProf_cur[27.432],PresProf_cur[30.48],PresProf_cur[33.528],PresProf_cur[36.576],PresProf_cur[39.624],PresProf_cur[42.672],PresProf_cur[45.72],PresProf_cur[48.768],PresProf_cur[51.816],PresProf_cur[54.864],PresProf_cur[57.912],PresProf_cur[60.96],
2006-06-01 03:15:00,295.654,291.999,0.000,296.325,294.497,287.945,291.325,99325.000,295.686,295.619,295.581,295.553,295.532,295.516,295.504,295.496,295.493,295.494,295.501,295.516,295.540,295.579,295.636,295.719,295.838,296.008,296.247,296.710,100886.314,100851.323,100816.335,100781.352,100746.375,100711.404,100676.440,100641.484,100606.535,100571.596,100536.665,100501.744,100466.834,100431.937,100397.054,100362.187,100327.341,100292.521,100257.733,100222.989,
2006-06-01 03:20:00,295.647,291.919,0.000,296.316,294.495,287.992,291.283,99333.333,295.679,295.614,295.576,295.548,295.527,295.511,295.499,295.491,295.488,295.489,295.496,295.510,295.535,295.572,295.629,295.711,295.829,295.997,296.234,296.692,100886.474,100851.482,100816.493,100781.510,100746.531,100711.560,100676.595,100641.638,100606.689,100571.749,100536.817,100501.896,100466.985,100432.087,100397.203,100362.336,100327.489,100292.667,100257.878,100223.132,
2006-06-01 03:25:00,295.640,291.839,0.000,296.307,294.492,288.037,291.242,99341.667,295.673,295.608,295.570,295.543,295.521,295.505,295.494,295.486,295.482,295.483,295.490,295.504,295.528,295.566,295.622,295.703,295.820,295.986,296.221,296.675,100886.634,100851.642,100816.652,100781.668,100746.689,100711.717,100676.752,100641.794,100606.844,100571.903,100536.971,100502.049,100467.137,100432.238,100397.353,100362.485,100327.637,100292.814,100258.023,100223.276,
2006-06-01 03:30:00,295.633,291.761,0.000,296.299,294.489,288.082,291.200,99350.000,295.667,295.602,295.565,295.537,295.516,295.500,295.488,295.481,295.477,295.478,295.485,295.499,295.522,295.559,295.615,295.695,295.811,295.975,296.208,296.658,100886.795,100851.802,100816.812,100781.827,100746.848,100711.875,100676.909,100641.950,100607.000,100572.058,100537.125,100502.202,100467.290,100432.390,100397.504,100362.635,100327.786,100292.962,100258.170,100223.421,
2006-06-01 03:35:00,295.626,291.684,0.000,296.289,294.486,288.124,291.158,99358.333,295.660,295.596,295.559,295.531,295.510,295.494,295.483,295.475,295.471,295.472,295.479,295.492,295.516,295.552,295.607,295.687,295.802,295.965,296.195,296.641,100886.958,100851.964,100816.973,100781.987,100747.007,100712.033,100677.066,100642.107,100607.156,100572.213,100537.280,100502.356,100467.443,100432.543,100397.656,100362.786,100327.936,100293.110,100258.317,100223.566,
2006-06-01 03:40:00,295.619,291.609,0.000,296.280,294.483,288.167,291.117,99366.667,295.654,295.590,295.553,295.525,295.504,295.489,295.477,295.469,295.466,295.466,295.473,295.486,295.509,295.546,295.600,295.679,295.792,295.954,296.182,296.624,100887.120,100852.126,100817.134,100782.147,100747.166,100712.192,100677.224,100642.265,100607.313,100572.369,100537.435,100502.511,100467.597,100432.695,100397.808,100362.937,100328.085,100293.259,100258.464,100223.711,
2006-06-01 03:45:00,295.612,291.534,0.000,296.271,294.480,288.207,291.075,99375.000,295.647,295.583,295.547,295.519,295.498,295.483,295.471,295.463,295.460,295.460,295.467,295.480,295.503,295.539,295.592,295.670,295.783,295.943,296.169,296.607,100887.284,100852.288,100817.296,100782.308,100747.326,100712.351,100677.383,100642.422,100607.470,100572.526,100537.591,100502.665,100467.751,100432.848,100397.960,100363.088,100328.235,100293.408,100258.611,100223.857,
2006-06-01 03:50:00,295.605,291.461,0.000,296.261,294.477,288.248,291.033,99383.333,295.641,295.577,295.540,295.513,295.492,295.477,295.465,295.457,295.453,295.454,295.460,295.473,295.496,295.531,295.584,295.662,295.773,295.932,296.156,296.590,100887.447,100852.451,100817.458,100782.469,100747.487,100712.511,100677.542,100642.580,100607.627,100572.682,100537.746,100502.820,100467.905,100433.002,100398.112,100363.239,100328.386,100293.557,100258.758,100224.003,
2006-06-01 03:55:00,295.597,291.389,0.000,296.252,294.473,288.286,290.992,99391.667,295.634,295.570,295.534,295.507,295.486,295.470,295.459,295.451,295.447,295.448,295.454,295.467,295.489,295.524,295.577,295.653,295.764,295.921,296.143,296.574,100887.611,100852.614,100817.620,100782.631,100747.647,100712.671,100677.701,100642.739,100607.785,100572.839,100537.902,100502.975,100468.059,100433.155,100398.265,100363.390,100328.536,100293.706,100258.906,100224.149,
2006-06-01 04:00:00,295.589,291.318,0.000,296.233,294.461,288.308,290.950,99400.000,295.627,295.564,295.528,295.501,295.480,295.464,295.453,295.445,295.441,295.441,295.447,295.460,295.482,295.517,295.569,295.645,295.754,295.910,296.130,296.557,100887.775,100852.777,100817.782,100782.792,100747.808,100712.831,100677.860,100642.897,100607.942,100572.996,100538.058,100503.131,100468.213,100433.308,100398.417,100363.542,100328.686,100293.855,100259.054,100224.294,
2006-06-01 04:05:00,295.580,291.067,0.000,296.213,294.447,288.324,290.808,99400.000,295.618,295.555,295.519,295.492,295.472,295.456,295.444,295.437,295.433,295.433,295.439,295.451,295.473,295.507,295.559,295.634,295.743,295.897,296.116,296.540,100887.965,100852.966,100817.970,100782.979,100747.994,100713.015,100678.044,100643.080,100608.124,100573.176,100538.238,100503.309,100468.391,100433.485,100398.592,100363.716,100328.859,100294.026,100259.223,100224.462,
2006-06-01 04:10:00,295.569,290.839,0.000,296.192,294.434,288.339,290.667,99400.000,295.608,295.546,295.509,295.482,295.462,295.446,295.434,295.426,295.422,295.423,295.428,295.441,295.462,295.496,295.547,295.622,295.730,295.883,296.100,296.522,100888.167,100853.167,100818.169,100783.177,100748.191,100713.211,100678.238,100643.273,100608.316,100573.367,100538.427,100503.497,100468.577,100433.670,100398.776,100363.898,100329.039,100294.205,100259.400,100224.637,
2006-06-01 04:15:00,295.556,290.626,0.000,296.169,294.416,288.344,290.525,99400.000,295.597,295.534,295.498,295.471,295.450,295.434,295.423,295.415,295.411,295.411,295.416,295.429,295.450,295.484,295.534,295.608,295.715,295.868,296.084,296.503,100888.377,100853.375,100818.377,100783.383,100748.395,100713.414,100678.440,100643.473,100608.514,100573.564,100538.623,100503.691,100468.770,100433.861,100398.965,100364.086,100329.226,100294.389,100259.583,100224.817,
