Date/Time,EAST:Surface Outside Face Temperature [C](TimeStep),NORTH:Surface Outside Face Temperature [C](TimeStep),SOUTH:Surface Outside Face Temperature [C](TimeStep),WEST:Surface Outside Face Temperature [C](TimeStep),FLOOR:Surface Outside Face Temperature [C](TimeStep),ROOF:Surface Outside Face Temperature [C](TimeStep),EAST_WINDOW:Surface Outside Face Temperature [C](TimeStep),NORTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),SOUTH_WINDOW:Surface Outside Face Temperature [C](TimeStep),WEST_WINDOW:Surface Outside Face Temperature [C](TimeStep) 
 06/21  21:35:00,21.96610066495856,22.03720251521883,21.995939700353755,22.25710964134589,18.0,20.27903570123215,22.062290556496123,22.059606454265122,22.07651069353045,22.075455079700703 
 06/21  21:40:00,21.83191240468658,21.898720811460457,21.861357448745945,22.107839941628658,18.0,20.14422700994937,21.949306735963546,21.946630240858326,21.963342102472723,21.962365873930423 
 06/21  21:45:00,21.69802496452536,21.760853915858142,21.7270988083405,21.959819945359843,18.0,20.00939406236234,21.819933300190883,21.81721558547315,21.833917649024215,21.83308295885581 
 06/21  21:50:00,21.56442752612081,21.62355988872805,21.593151046630215,21.812963878549926,18.0,19.87550857533041,21.69231749825974,21.68935392997662,21.706032368067554,21.705323268056418 
 06/21  21:55:00,21.431118529404717,21.486810286791716,21.45951083024758,21.667203567355525,18.0,19.741599097725494,21.564690767298316,21.562065237353806,21.578691554128454,21.578000846304747 
 06/21  22:00:00,21.29810088972469,21.350584652518453,21.326179426383646,21.522482317026075,18.0,19.608409868782395,21.437284005655556,21.434909543071683,21.451339930947256,21.450671437193023 
 06/21  22:05:00,21.16027352156293,21.20987348413406,21.18646659272264,21.372681461934643,18.0,19.456211594635285,21.23174912000451,21.2294929713928,21.243927128052064,21.24328127638921 
 06/21  22:10:00,21.020738140113508,21.067680278803447,21.04446353863566,21.221398365665667,18.0,19.3003518511372,21.057889064784717,21.05542315451362,21.06720009476544,21.06691624942914 
 06/21  22:15:00,20.88022290045574,20.924697655759175,20.901127101792497,21.069437979735163,18.0,19.14425652553255,20.909097037516403,20.906910378082443,20.915761678692263,20.915348324365482 
 06/21  22:20:00,20.739080524578164,20.78125456811465,20.756921657620957,20.91717216999029,18.0,18.98167719801448,20.76128965478847,20.759249042033503,20.765155485414653,20.764729926480868 
 06/21  22:25:00,20.59751654942836,20.63753826715347,20.61212118116776,20.764807713774786,18.0,18.8187728490899,20.61491605900619,20.613015112156745,20.61595894153379,20.615516910980944 
 06/21  22:30:00,20.45565146190775,20.493654488613267,20.46689119961707,20.612458203801527,18.0,18.651453724175145,20.469839188014248,20.468067906594797,20.468040869020797,20.467583386627496 
 06/21  22:35:00,20.313552025726008,20.349657753184587,20.32132940609077,20.46017960239528,18.0,18.483744713008704,20.32650249626738,20.324865821246135,20.32186913531598,20.321383524995667 
 06/21  22:40:00,20.171250922337848,20.205570372348358,20.17549047664858,20.30799206074285,18.0,18.31267695893261,20.205779437971103,20.20421326047415,20.198323387002688,20.197790894058926 
 06/21  22:45:00,20.028759957496348,20.061395231662353,20.02940236641016,20.155894311814027,18.0,18.14116507483483,20.094779235572105,20.09348460417135,20.084880420919944,20.08418961941095 
 06/21  22:50:00,19.886079072128826,19.917124504358597,19.883077255418108,20.003873349234162,18.0,17.966858359874053,19.986380345558246,19.98517708124143,19.97403177728836,19.97336923106741 
 06/21  22:55:00,19.743202680629928,19.772745773606943,19.736519154507278,19.851911160710856,18.0,17.792058543320703,19.88187901128356,19.88076786323819,19.867258365233397,19.86659145931401 
 06/21  23:00:00,19.600124491817578,19.628246693220238,19.58972959806908,19.699989807601384,18.0,17.614742754772458,19.777938879176872,19.77687881021052,19.761169604217685,19.760527516201137 
 06/21  23:05:00,19.456762555985367,19.483506531901842,19.443368131292644,19.548571349618115,18.0,17.44391064839838,19.66410234092939,19.663128283883793,19.646432245736605,19.64577674895088 
 06/21  23:10:00,19.31319470783131,19.33862097085744,19.29707260124481,19.39740135909966,18.0,17.27260309204235,19.554677417117887,19.553694941170193,19.53617282553796,19.53559419952319 
 06/21  23:15:00,19.16945351271015,19.19362394028826,19.150770572672773,19.246424657584367,18.0,17.10105189944098,19.44940370060806,19.44852493410724,19.43030649445518,19.429684328155417 
 06/21  23:20:00,19.02556775186729,19.048543157157397,19.004438079939238,19.095620468267953,18.0,16.93035236613955,19.34301415505854,19.342196541201474,19.323338293654956,19.322711663141945 
 06/21  23:25:00,18.881566062191784,18.90340539582207,18.858070897071148,18.94498265653878,18.0,16.759411881216415,19.236652770930334,19.235910947184948,19.21648442025446,19.215834258082737 
 06/21  23:30:00,18.737476617837363,18.758236606438718,18.71167551389442,18.79451318234641,18.0,16.588674262990885,19.129564861383642,19.128890097931617,19.10895363463561,19.108284591204608 
 06/21  23:35:00,18.59332624766116,18.613061234778563,18.565264077605097,18.644218220834045,18.0,16.417694172423456,19.02213951148525,19.021538019570414,19.001155266004446,19.000456322279433 
 06/21  23:40:00,18.44913963230375,18.467901529874105,18.418851187880836,18.494105618039185,18.0,16.24654483921894,18.914053355331248,18.913521431365552,18.89274980731875,18.89201824917734 
 06/21  23:45:00,18.304938722326195,18.322777026068906,18.272451836248198,18.344183223672516,18.0,16.07514896343374,18.805522337178274,18.80506704684433,18.78396675649026,18.7831850407955 
 06/21  23:50:00,18.16074237438373,18.17770421772148,18.126080093009598,18.194457823805443,18.0,15.903342502956335,18.696730839608904,18.696365701500213,18.674988383669756,18.674167910730432 
 06/21  23:55:00,18.01656616809563,18.032696399745586,17.97974829493992,18.04493449005354,18.0,15.731283774593562,18.587565858674054,18.587290075999363,18.565695164813633,18.564840833468793 
 06/21  24:00:00,17.872422378671235,17.88776365052054,17.833466589848754,17.895616223058166,18.0,15.558647767053559,18.4779105336537,18.477722214526466,18.455964403955022,18.45507518907789 
 06/22  00:05:00,17.739032601346157,17.753567807399527,17.700111383399737,17.75906804693542,18.0,15.430473334636295,18.38084753232181,18.38075033725653,18.361375913108986,18.360456111900476 
 06/22  00:10:00,17.610021304709875,17.623772065260432,17.572111126766714,17.627923407405028,18.0,15.31223271883219,18.284436737003716,18.28440525328449,18.267365544473193,18.266441476854936 
 06/22  00:15:00,17.483796441082863,17.496792768486028,17.447559734094956,17.500323989258707,18.0,15.193735972977562,18.187897504673515,18.18794717498588,18.1731475514473,18.172199241738838 
 06/22  00:20:00,17.35952100829226,17.37179625274093,17.325442996889777,17.37527707397949,18.0,15.091701347200667,18.090478285900417,18.09060443311631,18.077922784025418,18.0769516531156 
 06/22  00:25:00,17.23665166667193,17.248240468145116,17.205094688467824,17.252127093941745,18.0,14.98920951335606,17.992224970764482,17.992426615048316,17.98173840513823,17.98074230194436 
 06/22  00:30:00,17.114813607529033,17.125750742044705,17.0860497465049,17.13041338848788,18.0,14.896928329331843,17.89319032060098,17.89346697047415,17.884647142461517,17.883623601917577 
 06/22  00:35:00,16.993739560481423,17.004059246089486,16.96797258060369,17.009800875912163,18.0,14.80407701291411,17.79335804360369,17.793707943990682,17.786630851873724,17.785578874727207 
 06/22  00:40:00,16.873234114924202,16.882969593042528,16.850614930020807,16.890039343328265,18.0,14.717494736644426,17.69282695177469,17.69325035763933,17.687791640248918,17.686708376930028 
 06/22  00:45:00,16.753151402605283,16.76233469262759,16.73378934161653,16.770937839587496,18.0,14.630279959587126,17.591544529416637,17.592039282966823,17.588074708078807,17.586959926920258 
 06/22  00:50:00,16.633380563112727,16.642042328516794,16.617351778860186,16.652347884313734,18.0,14.54669533910283,17.489635605029946,17.490202425240113,17.487609701077474,17.486460441915938 
 06/22  00:55:00,16.513835987867527,16.52200547474692,16.501189862881432,16.534152107931106,18.0,14.462449844784896,17.38702777307401,17.387664354103208,17.386322073335123,17.38513858531428 
 06/22  01:00:00,16.394450610811127,16.40215563344951,16.38521472323184,16.416256369318038,18.0,14.380051404545735,17.283856442756814,17.284563757747037,17.284352541251337,17.28313193494955 
 06/22  01:05:00,16.318283102265827,16.32557102467383,16.31015230162863,16.339511309237032,18.0,14.316345789382906,17.26520216380254,17.265981282355938,17.26532448289231,17.26405779811938 
 06/22  01:10:00,16.259320903068765,16.26622340351932,16.25134648326725,16.2791652645161,18.0,14.25786339007417,17.25108310811794,17.251874336227388,17.25069987196798,17.24944664157789 
 06/22  01:15:00,16.21122280960488,16.217766243590606,16.20279046941481,16.22918191064856,18.0,14.199001731965303,17.2379198474124,17.238724296766918,17.236977976814387,17.235733754735406 
 06/22  01:20:00,16.170743729265826,16.176951129903504,16.161413381304754,16.18647293090167,18.0,14.1474940170648,17.225251912514125,17.226071806330765,17.223714025645563,17.222474512189365 
 06/22  01:25:00,16.135824769931194,16.141716713993713,16.12526860518862,16.14907937817116,18.0,14.095652024064732,17.21289610335822,17.21373404485672,17.210735332330387,17.209496436887434 
 06/22  01:30:00,16.105075119140423,16.11067025510853,16.09304216734259,16.115677999421973,18.0,14.048363662228548,17.20064467252041,17.201499914591693,17.197833767046404,17.196595077606958 
 06/22  01:35:00,16.077522342049882,16.082837745491307,16.0638159411436,16.085343409051887,18.0,14.000765180273467,17.188535072799198,17.189409260139655,17.185052464738533,17.183811277604377 
 06/22  01:40:00,16.052468485750815,16.049935269896636,16.03693131045498,16.05741113324609,18.0,13.956059276075669,17.17645880142186,17.17421001348839,17.17227960489913,17.171036133951816 
 06/22  01:45:00,16.029401481258596,16.02257541534893,16.02053648398886,16.031393346850766,18.0,13.91105746505303,17.16444033248206,17.16029368318715,17.164752881190225,17.158295730281566 
 06/22  01:50:00,16.0079383581196,15.997528807728754,16.00147995769612,16.00692490339952,18.0,13.867873180213756,17.15254609184717,17.147154942529255,17.153279114074508,17.145658210278896 
 06/22  01:55:00,15.987787728104863,15.9741070255834,15.982801314911327,15.983727700425138,18.0,13.824400723695145,17.140710399549334,17.134361217689616,17.141631531483426,17.133056890187845 
 06/22  02:00:00,15.968724379754176,15.951950880153154,15.964757280430458,15.961586560447708,18.0,13.782020485237044,17.128888262570968,17.121679934565577,17.1298920950004,17.120446809472128 
 06/22  02:05:00,15.93710047676929,15.919367629044615,15.933878191434042,15.928857329951773,18.0,13.746599872000486,17.088382537415555,17.081802698298134,17.08943410279562,17.080610119955622 
 06/22  02:10:00,15.900830918368904,15.883007204992532,15.898166103286357,15.892256295426428,18.0,13.71359397038619,17.04436494906406,17.03848577627781,17.045457310299696,17.03727442117389 
 06/22  02:15:00,15.8617825645116,15.844416427215139,15.859544427713677,15.853366298643438,18.0,13.680470824694291,16.99992569613994,16.994772946925877,17.001050725527364,16.993539090697254 
 06/22  02:20:00,15.82088746344064,15.804361418584618,15.818982389467468,15.812976777216983,18.0,13.650533782139663,16.955357099903097,16.950925039534013,16.95651222929638,16.949669190337602 
 06/22  02:25:00,15.778725048479222,15.763316315326035,15.777084571145538,15.771577572658178,18.0,13.620461670206396,16.910744006370578,16.907023885828835,16.91192879866378,16.90574583039995 
 06/22  02:30:00,15.73567778779973,15.721592580572814,15.734250889614518,15.729490897652093,18.0,13.592437659763352,16.866076374327974,16.86305774899853,16.86728979106192,16.861758121606897 
 06/22  02:35:00,15.69200572427661,15.679400671505784,15.690753755604387,15.68693462394623,18.0,13.564267150229766,16.821393078505025,16.819066508025685,16.822635027826834,16.817745042184583 
 06/22  02:40:00,15.64788930567372,15.636885438201901,15.646782546966463,15.644058723235108,18.0,13.537421550943726,16.77666881128755,16.775023633492935,16.77793825379308,16.773681041436703 
 06/22  02:45:00,15.603455684667681,15.5941478589227,15.602470970430778,15.600967692801339,18.0,13.51042279640876,16.73194433806475,16.73097107221338,16.733241306979266,16.72960700947965 
 06/22  02:50:00,15.558795517710404,15.55125892622159,15.557914563739564,15.557734909572568,18.0,13.48425767356917,16.687188473205083,16.686876312644472,16.6885119236199,16.685491540353496 
 06/22  02:55:00,15.513974012499682,15.508268781055397,15.513182218829792,15.5144120874408,18.0,13.457935966432832,16.64244501577889,16.64278437929761,16.64379511337745,16.64137846722855 
 06/22  03:00:00,15.469038363869798,15.465212861459214,15.468323945441359,15.471035652730865,18.0,13.432106644621697,16.597677607000833,16.598657507911412,16.59905332058088,16.597231249353285 
 06/22  03:05:00,15.407902110485281,15.403288850062607,15.407253062243795,15.408832784790519,18.0,13.366706788151747,16.531075258813303,16.53102947483228,16.532487301833157,16.529567212280426 
 06/22  03:10:00,15.34039968670255,15.334020209998798,15.33980757968186,15.339306797842681,18.0,13.293146034236303,16.463162839039796,16.46212469674242,16.464627189989983,16.460607676542168 
 06/22  03:15:00,15.26892273070079,15.260198766055915,15.26838091470334,15.265244476514702,18.0,13.21975927298137,16.39526968950338,16.393322703471995,16.396785762666127,16.391751570711676 
 06/22  03:20:00,15.194690080600862,15.183242194223356,15.194193168539522,15.188060822416231,18.0,13.132500508490315,16.32751127696349,16.324753756340726,16.329078832753055,16.323128513003724 
