cur_datetime,canTemp,sensWaste,wallSun_K,wallShade_K,roof_K,MeteoData.Tatm,MeteoData.Pre,TempProf_cur[2.6],TempProf_cur[13.9],TempProf_cur[17.5],TempProf_cur[21.5],TempProf_cur[25.5],TempProf_cur[31.2],PresProf_cur[2.6],PresProf_cur[13.9],PresProf_cur[17.5],PresProf_cur[21.5],PresProf_cur[25.5],PresProf_cur[31.2],
2002-06-10 08:15:00,287.150,0.000,294.340,292.093,289.390,285.925,97920.000,287.859,286.431,285.953,285.685,285.501,285.264,98060.268,97931.873,97885.072,97838.227,97791.362,97721.042,
2002-06-10 08:20:00,287.012,0.000,294.482,292.106,289.548,285.983,97923.333,287.608,286.393,285.942,285.679,285.496,285.258,98060.333,97931.887,97885.084,97838.237,97791.371,97721.050,
2002-06-10 08:25:00,287.226,0.000,294.637,292.126,289.717,286.042,97926.667,287.950,286.495,286.007,285.725,285.530,285.277,98060.213,97931.851,97885.060,97838.223,97791.363,97721.049,
2002-06-10 08:30:00,287.060,0.000,294.795,292.144,289.877,286.100,97930.000,287.659,286.440,285.984,285.709,285.517,285.266,98060.298,97931.874,97885.077,97838.236,97791.375,97721.058,
2002-06-10 08:35:00,287.291,0.000,294.960,292.167,290.045,286.158,97933.333,288.028,286.550,286.053,285.758,285.554,285.288,98060.168,97931.833,97885.051,97838.220,97791.365,97721.055,
2002-06-10 08:40:00,287.106,0.000,295.123,292.188,290.202,286.217,97936.667,287.704,286.488,286.027,285.740,285.539,285.277,98060.260,97931.856,97885.068,97838.233,97791.376,97721.063,
2002-06-10 08:45:00,287.359,0.000,295.293,292.213,290.368,286.275,97940.000,288.109,286.609,286.103,285.795,285.581,285.303,98060.114,97931.808,97885.036,97838.212,97791.362,97721.057,
2002-06-10 08:50:00,287.149,0.000,295.460,292.236,290.521,286.333,97943.333,287.744,286.536,286.070,285.772,285.564,285.290,98060.219,97931.835,97885.054,97838.225,97791.373,97721.064,
2002-06-10 08:55:00,287.429,0.000,295.632,292.263,290.684,286.392,97946.667,288.192,286.669,286.154,285.833,285.611,285.320,98060.055,97931.780,97885.017,97838.200,97791.356,97721.057,
2002-06-10 09:00:00,287.192,0.000,295.800,292.288,290.832,286.450,97950.000,287.782,286.584,286.113,285.806,285.590,285.306,98060.174,97931.809,97885.037,97838.214,97791.366,97721.063,
2002-06-10 09:05:00,287.531,0.000,295.972,292.317,290.992,286.542,97953.333,288.305,286.763,286.241,285.910,285.681,285.383,98059.914,97931.683,97884.935,97838.131,97791.299,97721.017,
2002-06-10 09:10:00,287.254,0.000,296.114,292.339,291.103,286.633,97956.667,287.822,286.668,286.207,285.902,285.687,285.405,98059.998,97931.662,97884.905,97838.098,97791.266,97720.987,
2002-06-10 09:15:00,287.646,0.000,296.248,292.364,291.234,286.725,97960.000,288.436,286.866,286.343,286.014,285.786,285.488,98059.709,97931.527,97884.796,97838.009,97791.195,97720.938,
2002-06-10 09:20:00,287.357,0.000,296.364,292.384,291.345,286.817,97963.333,287.913,286.783,286.321,286.012,285.796,285.513,98059.789,97931.501,97884.763,97837.974,97791.160,97720.908,
2002-06-10 09:25:00,287.822,0.000,296.480,292.409,291.482,286.908,97966.667,288.634,287.021,286.486,286.147,285.913,285.608,98059.450,97931.345,97884.638,97837.874,97791.081,97720.854,
2002-06-10 09:30:00,287.482,0.000,296.585,292.431,291.601,287.000,97970.000,288.026,286.917,286.453,286.139,285.920,285.632,98059.555,97931.324,97884.607,97837.840,97791.047,97720.824,
2002-06-10 09:35:00,287.994,0.000,296.694,292.460,291.747,287.092,97973.333,288.830,287.173,286.627,286.281,286.042,285.731,98059.191,97931.161,97884.478,97837.737,97790.965,97720.769,
2002-06-10 09:40:00,287.596,0.000,296.791,292.485,291.869,287.183,97976.667,288.126,287.042,286.578,286.261,286.039,285.748,98059.330,97931.151,97884.455,97837.708,97790.935,97720.741,
2002-06-10 09:45:00,288.172,0.000,296.893,292.516,292.020,287.275,97980.000,289.033,287.327,286.769,286.415,286.171,285.853,98058.930,97930.976,97884.318,97837.599,97790.849,97720.684,
2002-06-10 09:50:00,287.713,0.000,296.985,292.542,292.143,287.367,97983.333,288.228,287.172,286.707,286.386,286.162,285.866,98059.099,97930.975,97884.300,97837.574,97790.821,97720.657,
2002-06-10 09:55:00,288.360,0.000,297.082,292.575,292.299,287.458,97986.667,289.251,287.488,286.917,286.554,286.304,285.979,98058.659,97930.787,97884.154,97837.458,97790.730,97720.597,
2002-06-10 10:00:00,287.828,0.000,297.168,292.603,292.423,287.550,97990.000,288.327,287.302,286.838,286.513,286.286,285.987,98058.867,97930.796,97884.143,97837.438,97790.705,97720.572,
2002-06-10 10:05:00,288.541,0.000,297.260,292.637,292.584,287.542,97991.667,289.467,287.636,287.049,286.676,286.418,286.084,98058.423,97930.628,97884.018,97837.343,97790.634,97720.528,
2002-06-10 10:10:00,287.888,0.000,297.305,292.660,292.664,287.533,97993.333,288.365,287.379,286.915,286.587,286.357,286.053,98058.741,97930.699,97884.059,97837.366,97790.645,97720.528,
2002-06-10 10:15:00,288.658,0.000,297.327,292.683,292.753,287.525,97995.000,289.617,287.724,287.125,286.746,286.485,286.146,98058.280,97930.535,97883.937,97837.274,97790.577,97720.487,
2002-06-10 10:20:00,287.911,0.000,297.317,292.695,292.772,287.517,97996.667,288.363,287.423,286.964,286.637,286.408,286.105,98058.652,97930.623,97883.990,97837.305,97790.593,97720.489,
2002-06-10 10:25:00,288.761,0.000,297.295,292.707,292.815,287.508,97998.333,289.751,287.799,287.191,286.808,286.545,286.204,98058.149,97930.446,97883.860,97837.207,97790.520,97720.444,
2002-06-10 10:30:00,287.920,0.000,297.251,292.709,292.794,287.500,98000.000,288.346,287.455,287.004,286.682,286.455,286.155,98058.573,97930.550,97883.923,97837.245,97790.540,97720.448,
2002-06-10 10:35:00,288.852,0.000,297.201,292.714,292.809,287.492,98001.667,289.874,287.862,287.247,286.865,286.602,286.262,98058.026,97930.360,97883.784,97837.140,97790.462,97720.401,
2002-06-10 10:40:00,287.918,0.000,297.135,292.709,292.762,287.483,98003.333,288.318,287.477,287.037,286.722,286.499,286.205,98058.499,97930.479,97883.856,97837.184,97790.487,97720.406,
2002-06-10 10:45:00,288.932,0.000,297.066,292.707,292.760,287.475,98005.000,289.981,287.917,287.298,286.917,286.656,286.319,98057.909,97930.276,97883.708,97837.072,97790.403,97720.355,
2002-06-10 10:50:00,287.916,0.000,296.983,292.697,292.694,287.467,98006.667,288.292,287.497,287.068,286.761,286.544,286.257,98058.425,97930.406,97883.787,97837.122,97790.430,97720.362,
2002-06-10 10:55:00,289.004,0.000,296.901,292.689,292.679,287.458,98008.333,290.080,287.968,287.346,286.969,286.710,286.377,98057.794,97930.190,97883.630,97837.003,97790.342,97720.308,
2002-06-10 11:00:00,287.919,0.000,296.806,292.675,292.601,287.450,98010.000,288.274,287.518,287.100,286.801,286.590,286.311,98058.346,97930.329,97883.715,97837.055,97790.371,97720.315,
